1;Дмитрий;Дмитрий;PROPN;_;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;2;nsubj;_;@yuyuz1967m-words#@yuyuz1967m#32.625#32.928
2;спасибо;спасибо;NOUN;_;Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing;0;root;_;@yuyuz1967m-words#@yuyuz1967m#32.928#33.231
3;большое;большой;ADJ;_;Case=Nom|Degree=Pos|Gender=Neut|Number=Sing;2;amod;_;@yuyuz1967m-words#@yuyuz1967m#33.231#33.534
4;что;что;SCONJ;_;_;5;mark;_;@yuyuz1967m-words#@yuyuz1967m#33.534#33.837
5;согласились;согласиться;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid;2;acl;_;@yuyuz1967m-words#@yuyuz1967m#33.837#34.14
6;/;/;PUNCT;_;_;5;punct;_;@yuyuz1967m-words#@yuyuz1967m#34.14#34.443
7;дать;дать;VERB;_;Aspect=Perf|VerbForm=Inf|Voice=Act;5;xcomp;_;@yuyuz1967m-words#@yuyuz1967m#34.443#34.746
8;нам;мы;PRON;_;Case=Dat|Number=Plur|Person=1;7;iobj;_;@yuyuz1967m-words#@yuyuz1967m#34.746#35.049
9;интервью;интервью;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;7;obj;_;@yuyuz1967m-words#@yuyuz1967m#35.049#35.36
10;да;да;CCONJ;_;_;12;cc;_;@yuyuz1967m-words#@yuyuz1967m#36.333#36.732
11;ну;ну;PART;_;_;12;parataxis;_;@yuyuz1967m-words#@yuyuz1967m#36.732#36.984
12;видите;видеть;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act;5;conj;_;@yuyuz1967m-words#@yuyuz1967m#36.984#37.236
13;какое;какой;DET;_;Case=Acc|Gender=Neut|Number=Sing;16;det;_;@yuyuz1967m-words#@yuyuz1967m#37.236#37.488
14;мы;мы;PRON;_;Case=Nom|Number=Plur|Person=1;16;nsubj;_;@yuyuz1967m-words#@yuyuz1967m#37.488#37.74
15;место;место;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;16;obj;_;@yuyuz1967m-words#@yuyuz1967m#37.74#37.992
16;выбрали;выбрать;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;12;ccomp;_;@yuyuz1967m-words#@yuyuz1967m#37.992#38.244
17;да;да;PART;_;_;19;cc;_;@yuyuz1967m-words#@yuyuz1967m#39.392#39.582
18;мы;мы;PRON;_;Case=Nom|Number=Plur|Person=1;19;nsubj;_;@yuyuz1967m-words#@yuyuz1967m#42.148#42.396
19;постарались;стараться;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid;16;conj;_;@yuyuz1967m-words#@yuyuz1967m#42.396#42.644
20;а;а;CCONJ;_;_;21;cc;_;@yuyuz1967m-words#@yuyuz1967m#42.644#42.892
21;знаете;знать;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act;16;conj;_;@yuyuz1967m-words#@yuyuz1967m#42.892#43.14
22;почему;почему;ADV;_;Degree=Pos;21;advmod;_;@yuyuz1967m-words#@yuyuz1967m#43.14#43.388
